 "publication_type" , "journal_article" , "title" , "publication_year" , "author_name" , "journal_name" , "journal_issue_number" , "journal_volume_number" , "startEndPages" , "publisher_name" , "doi" , "cited_by_article" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Lu - Feng-Hwa" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/1313" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Lu - Feng-Hwa" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858646" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Lu - Feng-Hwa" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Ou - Horng-Yih" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/1313" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Ou - Horng-Yih" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858646" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Ou - Horng-Yih" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Wu - Jin-Shang" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/1313" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Wu - Jin-Shang" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858646" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Wu - Jin-Shang" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Yang - Yi-Ching" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/1313" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Yang - Yi-Ching" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858646" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Yang - Yi-Ching" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Chang - Chih-Jen" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/1313" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Chang - Chih-Jen" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858646" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/1397" , "Menopause is associated with self-reported poor sleep quality in women without vasomotor symptoms" , "2014" , "Chang - Chih-Jen" , "Menopause" , "8" , "21" , "834--839" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/gme.0000000000000183" , "https://w3id.org/oc/corpus/br/2858664" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Lee - Nita Karnik" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Lee - Nita Karnik" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Lee - Nita Karnik" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Cheung - Michael K." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Cheung - Michael K." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Cheung - Michael K." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Shin - Jacob Y." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Shin - Jacob Y." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Shin - Jacob Y." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Husain - Amreen" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Husain - Amreen" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Husain - Amreen" , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Teng - Nelson N." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Teng - Nelson N." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Teng - Nelson N." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/6104010" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Berek - Jonathan S." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/1" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/6" , "Prognostic Factors for Uterine Cancer in Reproductive-Aged Women" , "2007" , "Berek - Jonathan S." , "Obstetrics & Gynecology" , "3" , "109" , "655--662" , "Ovid Technologies (Wolters Kluwer Health)" , "10.1097/01.aog.0000255980.88205.15" , "https://w3id.org/oc/corpus/br/4334235" ,
