"Type";"Title";"Authors";"Topics";"Journal";"Year";"DOI";"ISSN";"Abstract";"Note";"ISBN"
"article";"Journal rankings in management and business studies-What rules do we play by?";"Vogel, R, Hattke, F, Petersen, J";"Bibliometrics Bibliographic coupling Citation analysis Journal rating Performance measurement Science studies";"RESEARCH POLICY";"2017";"10.1016/j.respol.2017.07.001";"0048-7333";"Given the growing importance of journal rankings in academic performance management, it is relevant to researchers and managers alike whether there are certain characteristics of publications that are more prevalent the higher a journal is ranked. This paper examines how tangible and adaptable characteristics of papers vary between different rating categories of journals and what the drivers of publication in journals at the top of rankings are. We build on a bibliometric analysis of more than 85,000 papers published in 168 management and business journals as rated in 18 popular journal rankings. Results refute some often repeated but rarely substantiated criticisms of journal rankings. Contrary to many voices, we find that interdisciplinarity and innovativeness are positively associated with publication in highly ranked journals. In other respects, our results support more critical assumptions, such as a widespread preference for quantitative methods. By providing more evidence on the implicit standards of journal rankings, this study expands on the understanding of what intended or unintended incentives they provide and how to use them responsibly.";" ";" "
"article";"Implementing Interdisciplinarity for Science and Society";"Gropp, R";" ";"BIOSCIENCE";"2017";"10.1093/biosci/bix129";"0006-3568";" ";" ";" "
"article";"Network proximity in the geography of research collaboration";"Berge, L";"Network proximity gravity model research collaboration network formation co-publication";"PAPERS IN REGIONAL SCIENCE";"2017";"10.1111/pirs.12218";"1056-8190";"This paper deals with the questions of how network proximity influences the structure of inter-regional collaborations and how it interacts with geography. I first introduce a new, theoretically grounded measure of inter-regional network proximity. Then, I use data on European scientific co-publications in the field of chemistry between 2001 and 2005 to assess those questions. The main findings reveal that inter-regional network proximity is important in determining future collaborations but its effect is mediated by geography. Most importantly, a clear substitution pattern is revealed showing that network proximity mainly benefits international collaborations.";" ";" "
"article";"Scientific collaboration in Brazilian researches-a comparative study in the information science, mathematics and dentistry fields";"Hilario, C, Cabrini, M";"Scientific collaboration Research collaboration Co-authorship Collaboration in science Self-organization in science";"SCIENTOMETRICS";"2017";"10.1007/s11192-017-2498-4";"0138-9130";"This study attempts to describe, in a comparative way, scientific collaboration and co-authoring activities and understanding of Brazilian researchers of productivity level 1 at the National Counsel of Technological and Scientific Development (CNPq). In order to do so, a questionnaire was sent to the researchers of productivity level 1 at CNPq in the Mathematics, Dentistry and Information Science fields, with questions about scientific collaboration and co-authoring activities. We analyzed the scientific production of the researchers who answered the questionnaire and we have identified that 78\% of the participants consider that scientific collaboration and co-authorship are different activities, and the potential and usual number of research collaborators is between 2 and 3 in Mathematics and Information Science, and between 5 and 6 collaborators in Dentistry. Differences among fields were pointed out by identifying main collaborators and co-authors. The reasons for collaborating vary according to the nature of the research, however, the percentages are high in these three areas: ``training of researchers and students, ``desire to increase their own experience through the experience of others and ``increased productivity. From the analysis of the scientific production declared in their Lattes Curriculum, we have found that the average number of authors per publication in the field of Information Science is 2.2 authors, in Mathematics is 2.8 authors per publication, and in Dentistry the average is 5.3 authors per publication. We have concluded that scientific collaboration and co-authorship are terms assigned to different activities for the analyzed fields.";" ";" "
"article";"Research collaboration in groups and networks-differences across academic fields";"Kyvik, S, Reymert, I";"Research groups Research collaboration Academic fields Norwegian research universities Publication output";"SCIENTOMETRICS";"2017";"10.1007/s11192-017-2497-5";"0138-9130";"The purpose of this paper is to give a macro-picture of collaboration in research groups and networks across all academic fields in Norwegian research universities, and to examine the relative importance of membership in groups and networks for individual publication output. To our knowledge, this is a new approach, which may provide valuable information on collaborative patterns in a particular national system, but of clear relevance to other national university systems. At the system level, conducting research in groups and networks are equally important, but there are large differences between academic fields. The research group is clearly most important in the field of medicine and health, while undertaking research in an international network is most important in the natural sciences. Membership in a research group and active participation in international networks are likely to enhance publication productivity and the quality of research.";" ";" "
"article";"A measure of knowledge flow between specific fields-Implications of interdisciplinarity for impact and funding";"Kwon, S, Solomon, G, Youtie, J, Porter, A";" ";"PLOS ONE";"2017";"10.1371/journal.pone.0185583";"1932-6203";"Encouraging knowledge flow between mutually relevant disciplines is a worthy aim of research policy makers. Yet, it is less clear what types of research promote cross-disciplinary knowledge flow and whether such research generates particularly influential knowledge. Empirical questions remain as to how to identify knowledge-flow mediating research and how to provide support for this research. This study contributes to addressing these gaps by proposing a new way to identify knowledge-flow mediating research at the individual research article level, instead of at more aggregated levels. We identify journal articles that link two mutually relevant disciplines in three ways-aggregating, bridging, and diffusing. We then examine the likelihood that these papers receive subsequent citations or have funding acknowledgments. Our case study of cognitive science and educational research knowledge flow suggests that articles that aggregate knowledge from multiple disciplines are cited significantly more often than are those whose references are drawn primarily from a single discipline. Interestingly, the articles that meet the criteria for being considered knowledge-flow mediators are less likely to reflect funding, based on reported acknowledgements, than were those that did not meet these criteria. Based on these findings, we draw implications for research policymakers.";" ";" "
"article";"``The human use of human beings-Interdisciplinarity, transdisciplinarity and all that in biophysics and beyond";"Tabacchi, M, Termini, S";"Biophysics Wiener Cybernetics Interdisciplinarity";"BIOPHYSICAL CHEMISTRY";"2017";"10.1016/j.bpc.2017.05.007";"0301-4622";"Biophysics, just by looking at its name, indicates an interdisciplinary scientific activity, although the notion of interdisciplinarity, as such, seems to be not widely or specifically discussed by biophysicists. The same seems to have happened as well in the early stages of the development of cybernetics, notably in Norbert Wieners writings. This situation seems to contrast with what has happened in subsequent developments of cybernetics ideas, notably in general system theory and cognitive sciences. After a few general reflections on the notion of interdisciplinarity, its sophisticated variants and the path leading to the birth of cognitive science, we shall refer to Wieners thought to extracts aspects and indications that could be useful today, also for what concerns the social responsibility of scientists, which could be seen as stemming from a very general form of interdisciplinarity. Highlights: After a few general reflections on the notion of interdisciplinarity, its sophisticated variants and the path leading to the birth of cognitive science, we shall refer to Wieners thought to extracts aspects and indications that could be useful today, also for what concerns the social responsibility of scientists.";"23rd National Congress of the Italian-Society-for-Pure-and-Applied-Biophysics (SIBPA), Cortona, ITALY, SEP 18-21, 2016";" "
"article";"Social network analysis of a scientist-practitioner research initiative established to facilitate science dissemination and implementation within states and communities";"Ginexi, E, Huang, G, Steketee, M, Tsakraklides, S, MacAllum, K, Bromberg, J, Huffman, A, Luke, D, Leischow, S, Okamoto, J, Rogers, T";"social network analysis public health dissemination and implementation science-to-practice tobacco control";"RESEARCH EVALUATION";"2017";"10.1093/reseval/rvx026";"0958-2029";"This article presents a case study of a scientist-practitioner research network established by the National Cancer Institutes State and Community Tobacco Control Research Initiative. While prior programs have focused on collaboration among scientists, a goal here was to encourage collaborations with non-university, practice-based partners. Two stages of analyses examine growth in the network and collaboration outcomes over a 2-year timeframe. First, visual and descriptive analyses were used to assess the networks structure and characteristics. Second, regression modeling was used to assess the relationship between investigator characteristics on active collaboration with non-university partners in research and coauthorship. Network analysis revealed an increasing number of connections, low and decreasing density, increasing centralization and select individuals with high degree and betweenness centralities. Investigator seniority and experience did not predict the active partner connections. Rather, scientists betweenness centrality, or the extent to which they acted as bridges across the network, was the key predictor of collaboration. This finding suggests a novel way for dissemination-focused research programs to identify super-connector investigators to foster practitioner linkages.";" ";" "
"article";"GraphSpace-stimulating interdisciplinary collaborations in network biology";"Bharadwaj, A, Singh, D, Ritz, A, Tegge, A, Poirel, C, Kraikivski, P, Adames, N, Luther, K, Kale, S, Peccoud, J, Tyson, J, Murali, T";" ";"BIOINFORMATICS";"2017";"10.1093/bioinformatics/btx382";"1367-4803";"Networks have become ubiquitous in systems biology. Visualization is a crucial component in their analysis. However, collaborations within research teams in network biology are hampered by software systems that are either specific to a computational algorithm, create visualizations that are not biologically meaningful, or have limited features for sharing networks and visualizations. We present GraphSpace, a web-based platform that fosters team science by allowing collaborating research groups to easily store, interact with, layout and share networks. Availability and implementation: Anyone can upload and share networks at http://graphspace.org. In addition, the GraphSpace code is available at http://github.com/Murali-group/graphspace if a user wants to run his or her own server.";" ";" "
"article";"Catalyzing Interdisciplinary Research and Training-Initial Outcomes and Evolution of the Affinity Research Collaboratives Model";"Ravid, K, Seta, F, Center, D, Waters, G, Coleman, D";" ";"ACADEMIC MEDICINE";"2017";"10.1097/ACM.0000000000001716";"1040-2446";"Team science has been recognized as critical to solving increasingly complex biomedical problems and advancing discoveries in the prevention, diagnosis, and treatment of human disease. In 2009, the Evans Center for Interdisciplinary Biomedical Research (ECIBR) was established in the Department of Medicine at Boston University School of Medicine as a new organizational paradigm to promote interdisciplinary team science. The ECIBR is made up of affinity research collaboratives (ARCs), consisting of investigators from different departments and disciplines who come together to study biomedical problems that are relevant to human disease and not under interdisciplinary investigation at the university. Importantly, research areas are identified by investigators according to their shared interests. ARC proposals are evaluated by a peer review process, and collaboratives are funded annually for up to three years. Initial outcomes of the first 12 ARCs show the value of this model in fostering successful biomedical collaborations that lead to publications, extramural grants, research networking, and training. The most successful ARCs have been developed into more sustainable organizational entities, including centers, research cores, translational research projects, and training programs. To further expand team science at Boston University, the Interdisciplinary Biomedical Research Office was established in 2015 to more fully engage the entire university, not just the medical campus, in interdisciplinary research using the ARC mechanism. This approach to promoting team science may be useful to other academic organizations seeking to expand interdisciplinary research at their institutions.";" ";" "
