annotation,normalizedUnweightedBetweennessCentrality
expression,1.0
Netherlands,0.9954454029386254
Dutch,0.7667564479712028
gene,0.7334955361172625
protein,0.7102182974092688
acid,0.491827488584803
evolution,0.36194851326755073
brain,0.2589466249846826
plasma,0.25126182682356324
international,0.24140605803632056
syndrome,0.2397868223758648
magnitude,0.22070774458141426
Europe,0.21832430534702799
American,0.21364495329616875
classical,0.19993697267341812
Amsterdam,0.19006942643235863
DNA,0.18246371008734272
mortality,0.18114913704877714
cognitive,0.1752835876167508
algorithm,0.1653626324340902
protocol,0.16513770585542104
receptor,0.16038715577666293
dependence,0.15622658637822848
confidence interval,0.1559496393339504
matrix,0.1501149073887753
probability,0.14992059796297078
screening,0.14927025788307996
morphology,0.14501366550311282
simulation,0.1371425038561158
variance,0.13667779225297266
cancer,0.1264117445172271
carbon,0.12503092333571783
muscle,0.12423555616810106
SD,0.12416617859563432
assay,0.11326665322161321
database,0.112387549580912
phenotype,0.11179194589988899
Ireland,0.11127081538805408
tumor,0.10978791701823723
enzyme,0.1084740320139219
oxygen,0.10774276497948947
substrate,0.10758544715783676
mutation,0.10606690140277156
John Wiley & Sons,0.10582747903304396
amplitude,0.10427611412824128
flux,0.1038677383182018
memory,0.09961199023574907
Elsevier Science Ltd,0.09463538545778448
liver,0.09155365511986212
regression,0.08672312326135104
magnetic,0.08367196617526078
pH,0.08221736421112077
mouse,0.08170061494242353
X-ray,0.0798857764283864
metabolism,0.07901262381570984
antibodies,0.07860023496955199
inflammation,0.07821692458398594
inhibitor,0.07692529808216714
molecule,0.0767709961563638
placebo,0.0756380848981844
depression,0.0753221901667615
ligand,0.07472431467307114
geometry,0.07467560045989524
genus,0.07311078320396656
quantum,0.07278215638333065
gradient,0.07038032752751049
sediment,0.07016846843322583
spectroscopy,0.0700836882106974
endogenous,0.06916101093165196
fluorescence,0.06623515174574748
radiation,0.06398874876186121
laser,0.06275061728936449
bone,0.06157981112166608
vector,0.061481913051949076
diffusion,0.06037207088524479
nitrogen,0.06011966479921651
logistic regression,0.06001849514722635
interact,0.05993203070542395
ion,0.059147630634614555
mutant,0.05881003518517322
indicative,0.05856103838337778
Germany,0.05716694436674964
mRNA,0.05656417067850516
Aim,0.056140243464876095
CO2,0.055999030215184153
pathogenesis,0.05555822867882599
mol,0.05554908531876452
proximal,0.05457988320811151
bacteria,0.05448077451809587
Delta,0.05410397563685986
odds ratio,0.053707085670559256
3D,0.05262127140566148
integral,0.05253338353320569
accounting,0.052487819597841205
subgroup,0.051870127380070706
taxa,0.05124509572914608
interplay,0.05017794918146818
isotope,0.05012099756743173
nonlinear,0.04798846061594599
Hz,0.047829313537924446
hybrid,0.04757036775021486
pregnancy,0.047000553773176655
optimization,0.046307500108866105
EU,0.04565410072035555
lung,0.04546783549472487
city,0.04520722110915387
Indonesia,0.044972304142444824
lipid,0.043478017880203265
glucose,0.043033554951266664
lesion,0.04260557777249346
morbidity,0.042237696400890166
digital,0.04215777257956593
anxiety,0.042062759029910274
resonance,0.041403023329208706
double-blind,0.041378140175838685
substrates,0.041357419959817114
"Wiley Periodicals, Inc",0.04113013470407919
antibody,0.04091071898399118
RNA,0.04044578190570771
determinant,0.04043295109690488
MRI,0.04015990003793634
carcinoma,0.040064173024456785
convergence,0.039955464411277196
habitat,0.03938233461853575
pathology,0.0392540239777829
climate change,0.03898917066161811
China,0.03888975687678391
hydrogen,0.0388101941616618
symmetry,0.03850781273623674
Wiley-Liss,0.038171984031058204
multivariate,0.03788003842913013
neurons,0.03730809901085216
mass spectrometry,0.03723290204291629
normalized,0.037049895310189075
locus,0.03647418401635241
peptide,0.03647171037078534
HIV,0.03623707686135404
France,0.03612909260680325
United States,0.03574386844782379
logic,0.035603415124754796
genome,0.035558421947421766
Africa,0.03527018415580608
meta-analysis,0.035230577577215864
Spain,0.03418610143095209
biomass,0.03396522425398573
theorem,0.033766729748969875
calcium,0.033364621295233134
fish,0.03332489793400991
alcohol,0.03332021150881637
scattering,0.03281896616961882
precipitation,0.03280064331987234
Median,0.0325187595494041
endemic,0.03224670837526845
derivative,0.03213789012705992
UV,0.03177539903305003
basin,0.03173128829336198
mitochondrial,0.03172445562612802
biology,0.03172034304552334
UK,0.03167506771414255
PCR,0.03139828393278168
Italy,0.03136592097773368
macrophages,0.03134924925357202
hormone,0.031294038167726586
pollen,0.031259553605379825
matrices,0.031226455942316267
bond,0.03070815591252175
loci,0.030154985210235314
ventricular,0.030027551136286173
Academic Press,0.02986070109592047
disability,0.02957257784657266
spectroscopic,0.029424275176214123
adds,0.02940059782566412
cohort study,0.028671537090229796
standard deviation,0.028552034064068376
spin,0.028437953083302072
phylogenetic,0.028414839991552945
virus,0.028375957312521093
genera,0.028305745544379507
mineral,0.028287067783424928
genotype,0.028000485919627217
histological,0.027979318554562874
The combination,0.027947676776997925
exogenous,0.027788170663890152
BP,0.02762079868661709
stochastic,0.027491860361122902
semantic,0.027099023438297936
antigen,0.026840675187658564
NMR,0.026699526445579318
wavelength,0.02631860299479417
intravenous,0.026136752668015812
gravity,0.02588556024063947
regression analysis,0.025789477399803452
cross-sectional study,0.025762424003259905
dissociation,0.025528544872386056
polymerase,0.02521179284728486
H-2,0.02478067371011401
public health,0.024761059948403198
smoking,0.024580606642015314
chemistry,0.024497400943849862
ecosystem,0.02445422673434262
topology,0.024208456878666407
heart rate,0.02413412525880131
pulmonary,0.02410498942964613
erosion,0.023962649279848452
BMI,0.0238258004270795
South Africa,0.02381092877247459
French,0.02376486652931929
fat,0.023673636485828705
cognition,0.02361167187229003
blood pressure,0.023504610132408312
linear regression,0.023380178806948496
Internet,0.023323506936262756
solvent,0.023135003018310358
2D,0.023036871758172317
urine,0.022977790260635105
tau,0.022754012427823465
trust,0.022729045579138196
lattice,0.022724219658896087
infrared,0.022714597551272735
coincide,0.022680752185919695
European Union,0.022679625336549193
Van,0.022404518903414647
Bayesian,0.022169535800044004
time series,0.022148312637186467
bridge,0.022006975286031707
chemotherapy,0.021981466677356395
terrestrial,0.021550940344629958
proton,0.021533800724200622
renal,0.021485053493317263
epithelial,0.02148223014986536
socioeconomic,0.021390730653040563
obesity,0.02097566869399541
nucleus,0.020860890404663927
library,0.020816198660376452
phosphate,0.02071182992837471
medicine,0.020703911676731978
Belgium,0.020565219050366183
Basel,0.020531675294050356
specification,0.020513506958105103
Monte Carlo,0.02029536310829466
immunohistochemistry,0.02025119438325055
mental health,0.0201693138209091
Australia,0.02013844762163692
Escherichia coli,0.019987776210568402
physics,0.01997986355617976
diabetes,0.019963003727389215
starting point,0.019940480449768257
cholesterol,0.01967746364294803
nuclei,0.019623989739854405
randomized controlled trial,0.019503288669918413
resemble,0.019436820812388907
Chinese,0.019430077137998276
