wosCategory,normalizedUnweightedBetweennessCentrality
Environmental Sciences,1.0
"Public, Environmental & Occupational Health",0.8300458363639965
Neurosciences,0.5667506414192853
Biochemistry & Molecular Biology,0.5165944751342093
Economics,0.5131981806975359
Biology,0.4516590673506499
Language & Linguistics,0.44164142633311004
Physical Chemistry,0.43553833038722745
Multidisciplinary,0.4266891741498071
Interdisciplinary Applications of Computer Science,0.4228595665371394
Biotechnology & Applied Microbiology,0.408852794724853
Multidisciplinary Materials Science,0.39811660753575856
Artificial Intelligence,0.38108556644636576
Electrical & Electronic Engineering,0.380008348392104
Statistics & Probability,0.3463791531504767
Pharmacology & Pharmacy,0.3448222044265277
Biomedical Engineering,0.3393977873407899
Energy & Fuels,0.3062960280358349
Education & Educational Research,0.29443447108548065
Environmental Studies,0.2858798634441991
Genetics & Heredity,0.26827881919311714
"Computer Science,",0.266096470340798
Health Care Sciences & Services,0.2651571757315996
Multidisciplinary Chemistry,0.26199680252281826
History,0.25845088760277984
"Geosciences, Multidisciplinary",0.2553166661399271
Interdisciplinary Applications,0.22930904338772495
Multidisciplinary Engineering,0.22684650787883553
Psychiatry,0.20448961068812774
History & Philosophy Of Science,0.203021689860123
Biochemical Research Methods,0.1844531851673418
Nuclear Science & Technology,0.17712246748588997
Analytical Chemistry,0.17279464748400536
Management,0.1647380507073323
Rehabilitation,0.16422689726715406
Behavioral Sciences,0.16184030593265325
Interdisciplinary Applications of Mathematics,0.16088042118585272
Civil Engineering,0.1544336253224367
"Engineering,",0.15218399304634142
Sociology,0.14184368144361803
Linguistics,0.1371412746233144
Ecology,0.13676338809065627
Social Issues,0.13322794345588493
Instruments & Instrumentation,0.13321532141300255
"Radiology, Nuclear Medicine & Medical Imaging",0.13320522149090988
Mechanics,0.13155235571498933
Biophysics,0.1303740595744102
Physiology,0.12617101962848887
Law,0.12440746558786901
"Humanities, Multidisciplinary",0.1225790209309644
Psychology,0.12061062738213439
General & Internal Medicine,0.11919760596302269
Physical Geography,0.11734783572676487
Anthropology,0.11613208896374307
Ethics,0.11606889888277269
Industrial Engineering,0.11020762910241277
Mathematical & Computational Biology,0.10975446465910209
Nanoscience & Nanotechnology,0.10764432156084441
Operations Research & Management Science,0.10695870326569329
Pediatrics,0.10524533074873332
Applied Chemistry,0.10509982341484805
Multidisciplinary Psychology,0.10468685106654944
"Psychology,",0.10356221261576132
Plant Sciences,0.10334773818387248
Oncology,0.09922189676443458
Medical Informatics,0.09870770972464848
Cultural Studies,0.09842300994622097
Medical Research & Experimental Medicine,0.09828750694384866
Theory & Methods in Computer Science,0.09389444721783152
Experimental Psychology,0.09168020552338234
Philosophy,0.09061790075865182
Health Policy & Services,0.0903783922088791
Immunology,0.08433876520884251
Geography,0.08316361506551671
Interdisciplinary Social Sciences,0.08278499167864044
Toxicology,0.0789937077492395
"Social Sciences,",0.07890514801191482
"Physics,",0.07868478665737161
Literature,0.07834206053605941
Science,0.07583266330424074
Urology & Nephrology,0.07473026528704244
Water Resources,0.07040789973049665
Literary Theory & Criticism,0.07035121262878019
Applied Psychology,0.06916555041702956
Sport Sciences,0.06850661726876867
Information Systems,0.06833956778554141
Applied Mathematics,0.0683220541691001
Chemical Engineering,0.06783549178883652
Religion,0.06346175893326834
Multidisciplinary Sciences,0.06291075473600932
Social,0.06201768434245069
Cell Biology,0.06162860415907237
Nursing,0.06098649312019767
Spectroscopy,0.06090786640265303
Hematology,0.059781683110719644
Communication,0.05853086514451786
Clinical Neurology,0.05844496942958222
Nutrition & Dietetics,0.057510034327078484
Food Science & Technology,0.0571339170394612
Education in Scientific Disciplines,0.05532062797588859
Biomedical Social Sciences,0.05520456773264087
Applications,0.05509792502845541
Condensed Matter Physics,0.05483793296193785
Optics,0.05434413028159107
Zoology,0.05294220709639841
Environmental Engineering,0.0474310789675282
Acoustics,0.04586167250003614
Surgery,0.04511509576539912
Archaeology,0.044347794551096394
Biomedical,0.04358321729131316
History Of Social Sciences,0.04340030609640905
Applied Physics,0.04237194261744212
Imaging Science & Photographic Technology,0.041196719055559376
Medicinal Chemistry,0.040927368121177074
