keywordPlus,setId
Disease,82571
Therapy,82571
Acute myocardial-infarction,82571
Stroke patients,82571
Handicap,82571
Interobserver agreement,82571
Intracerebral hemorrhage,82571
Bleeding complications,82571
Optimal intensity,82571
Warfarin,82571
Deficiency,82571
Mechanical-properties,82571
Mutations,82571
Cerebrovascular-disease,82571
Etiology,82571
Polycystic kidney-disease,82571
Subarachnoid hemorrhage,82571
Cerebral-artery aneurysm,82571
Connective tissues,82571
Saccular aneurysms,82571
Dtpa,82571
Co2,82571
Uv-b,82571
Rice,82571
Sensitivity,82571
Plants,82571
Arabidopsis-thaliana,82571
Vegetation,82571
Leaves,82571
Atmospheric ozone,82571
Phaseolus-vulgaris,82571
Relief,82571
Service,82571
Medication,82571
Nurses,82571
Patient attitudes,82571
Postoperative pain management,82571
Dic microscopy,82571
People,82571
Elderly population,82571
Prevalence,82571
Folate,82571
Cardiovascular risk,82571
Cobalamin deficiency,82571
Methylmalonic acid,82571
Plasma homocyst(e)ine,82571
Vitamin-b12,82571
Carcinoma,82571
Sera,82571
Breast-cancer,82571
Cancer-patients,82571
Colony-stimulating factor,82571
Tumor angiogenesis,82571
Prognostic indicator,82571
Pharmacology,82571
Mechanism,82571
Oxidation,82571
Relaxing factor,82571
No,82571
L-arginine,82571
Superoxide,82571
Peroxynitrite,82571
Nitrosothiols,82571
Nitrosylation,82571
Reconstruction,82571
Loads,82571
Finite-element,82571
Shoot,82571
Conductance,82571
Plasma-membrane,82571
Ion channels,82571
Protoplasts,82571
Cytosolic calcium,82571
Inward,82571
Junction,82571
Potassium-transport,82571
Salt-stressed barley,82571
Escherichia-coli,82571
Metabolic control analysis,82571
Control coefficients,82571
Steady-state,82571
General sensitivity theory,82571
Implicit methods,82571
Matrix-method,82571
Protonmotive force,82571
Respiration rate,82571
Top-down approach,82571
Performance,82571
Positron emission tomography,82571
C-11 raclopride,82571
Quantitation,82571
Proton,82571
Scattering,82571
Nucleon,82571
Sum-rules,82571
Bag model,82571
Diquark model,82571
Inelastic structure functions,82571
Parton distribution-functions,82571
Hormones,82571
Men,82571
Dysfunction,82571
Stimuli,82571
Nocturnal penile tumescence,82571
Erectile disorder,82571
Low-back-pain,82571
Magnetic-resonance,82571
Relaxation-times,82571
Water,82571
Components,82571
Dependence,82571
Output,82571
Depth-dose data,82571
Energy photon beams,82571
Factor constituents,82571
Head-scatter factors,82571
Photon beams,82571
Molecular-oxygen,82571
Ray crystal-structure,82571
Unfunctionalized olefins,82571
"1,8-naphthyridine complexes",82571
Alcohol oxidation,82571
Alpha-d-glucopyranoside,82571
D-glucuronic acid,82571
Electrocatalytic activity,82571
Manganese(iii) complexes,82571
Water-oxidation,82571
Echo,82571
Ions,82571
Li+,82571
Temperature,82571
