subjectCategory,setId
"Film, Radio & Television",1
Neurosciences & Neurology,1
Asian Studies,1
Sport Sciences,1
Environmental Sciences & Ecology,1
Anesthesiology,1
Microscopy,1
General & Internal Medicine,1
Public Administration,1
Business & Economics,1
Oncology,1
Pharmacology & Pharmacy,1
Orthopedics,1
Plant Sciences,1
Agriculture,1
Mathematical & Computational Biology,1
Life Sciences & Biomedicine - Other Topics,1
"Radiology, Nuclear Medicine & Medical Imaging",1
Physics,1
Transplantation,1
Urology & Nephrology,1
Engineering,1
Chemistry,1
Immunology,1
Microbiology,1
Infectious Diseases,1
Biophysics,1
Biochemistry & Molecular Biology,1
Cell Biology,1
"Public, Environmental & Occupational Health",1
Linguistics,1
Paleontology,1
Mathematics,1
Mathematical Methods In Social Sciences,1
Psychology,1
Geochemistry & Geophysics,1
Education & Educational Research,1
Oceanography,1
Hematology,1
Obstetrics & Gynecology,1
Reproductive Biology,1
Ophthalmology,1
Science & Technology - Other Topics,1
Operations Research & Management Science,1
Pediatrics,1
"Dentistry, Oral Surgery & Medicine",1
Endocrinology & Metabolism,1
Physiology,1
Genetics & Heredity,1
Geriatrics & Gerontology,1
Emergency Medicine,1
Geography,1
Developmental Biology,1
Cardiovascular System & Cardiology,1
Tropical Medicine,1
Health Care Sciences & Services,1
Zoology,1
Marine & Freshwater Biology,1
Geology,1
Research & Experimental Medicine,1
Water Resources,1
Rheumatology,1
Surgery,1
Psychiatry,1
Spectroscopy,1
Physical Geography,1
Allergy,1
Otorhinolaryngology,1
Pathology,1
Computer Science,1
Nuclear Science & Technology,1
Behavioral Sciences,1
Rehabilitation,1
Meteorology & Atmospheric Sciences,1
Toxicology,1
Philosophy,1
Respiratory System,1
Sociology,1
Biotechnology & Applied Microbiology,1
Automation & Control Systems,1
Astronomy & Astrophysics,1
Energy & Fuels,1
Nutrition & Dietetics,1
Optics,1
Materials Science,1
Forestry,1
Acoustics,1
Communication,1
Family Studies,1
Literature,1
Medical Laboratory Technology,1
Government & Law,1
Anthropology,1
Gastroenterology & Hepatology,1
Biodiversity & Conservation,1
Women's Studies,1
Social Issues,1
Classics,1
Medical Informatics,1
Instruments & Instrumentation,1
Virology,1
Polymer Science,1
Evolutionary Biology,1
Transportation,1
Mycology,1
Dermatology,1
Veterinary Sciences,1
Religion,1
Cultural Studies,1
Archaeology,1
History & Philosophy of Science,1
Food Science & Technology,1
Crystallography,1
Social Sciences - Other Topics,1
Biomedical Social Sciences,1
Urban Studies,1
Integrative & Complementary Medicine,1
History,1
Art,1
Criminology & Penology,1
Mechanics,1
Information Science & Library Science,1
Remote Sensing,1
Imaging Science & Photographic Technology,1
Mineralogy,1
Substance Abuse,1
Metallurgy & Metallurgical Engineering,1
Anatomy & Morphology,1
Telecommunications,1
Medical Ethics,1
Thermodynamics,1
Audiology & Speech-Language Pathology,1
Nursing,1
Architecture,1
Theater,1
Entomology,1
Area Studies,1
Demography,1
International Relations,1
Electrochemistry,1
Arts & Humanities - Other Topics,1
Legal Medicine,1
Music,1
Social Work,1
Ethnic Studies,1
Dance,145
Robotics,1
Parasitology,1
Construction & Building Technology,1
Fisheries,1
Mining & Mineral Processing,1
