"originalWosCategory","replacementCategory","parentCategory"
"Acoustics","Acoustics","NA"
"Agricultural Economics & Policy","Agricultural Economics & Policy","NA"
"Agricultural Engineering","Agricultural Engineering","NA"
"Agriculture, Dairy & Animal Science","Dairy & Animal Science","Agriculture"
"Agriculture, Multidisciplinary","Multidisciplinary Agriculture","Agriculture"
"Agronomy","Agronomy","NA"
"Allergy","Allergy","NA"
"Anatomy & Morphology","Anatomy & Morphology","NA"
"Andrology","Andrology","NA"
"Anesthesiology","Anesthesiology","NA"
"Anthropology","Anthropology","NA"
"Archaeology","Archaeology","NA"
"Architecture","Architecture","NA"
"Area Studies","Area Studies","NA"
"Art","Art","NA"
"Asian Studies","Asian Studies","NA"
"Astronomy & Astrophysics","Astronomy & Astrophysics","NA"
"Audiology & Speech-Language Pathology","Audiology & Speech-Language Pathology","NA"
"Automation & Control Systems","Automation & Control Systems","NA"
"Behavioral Sciences","Behavioral Sciences","NA"
"Biochemical Research Methods","Biochemical Research Methods","NA"
"Biochemistry & Molecular Biology","Biochemistry & Molecular Biology","NA"
"Biodiversity Conservation","Biodiversity Conservation","NA"
"Biology","Biology","NA"
"Biophysics","Biophysics","NA"
"Biotechnology & Applied Microbiology","Biotechnology & Applied Microbiology","NA"
"Business","Business","NA"
"Business, Finance","Finance","Business"
"Cardiac & Cardiovascular Systems","Cardiac & Cardiovascular Systems","NA"
"Cell & Tissue Engineering","Cell & Tissue Engineering","NA"
"Cell Biology","Cell Biology","NA"
"Chemistry, Analytical","Analytical Chemistry","Chemistry"
"Chemistry, Applied","Applied Chemistry","Chemistry"
"Chemistry, Inorganic & Nuclear","Inorganic & Nuclear Chemistry","Chemistry"
"Chemistry, Medicinal","Medicinal Chemistry","Chemistry"
"Chemistry, Multidisciplinary","Multidisciplinary Chemistry","Chemistry"
"Chemistry, Organic","Organic Chemistry","Chemistry"
"Chemistry, Physical","Physical Chemistry","Chemistry"
"Classics","Classics","NA"
"Clinical Neurology","Clinical Neurology","NA"
"Communication","Communication","NA"
"Computer Science, Artificial Intelligence","Artificial Intelligence","Computer Science"
"Computer Science, Cybernetics","Cybernetics","Computer Science"
"Computer Science, Hardware & Architecture","Hardware & Architecture","Computer Science"
"Computer Science, Information Systems","Information Systems","Computer Science"
"Computer Science, Interdisciplinary Applications","Interdisciplinary Applications of Computer Science","Computer Science"
"Computer Science, Software Engineering","Software Engineering","Computer Science"
"Computer Science, Theory & Methods","Theory & Methods in Computer Science","Computer Science"
"Construction & Building Technology","Construction & Building Technology","NA"
"Criminology & Penology","Criminology & Penology","NA"
"Critical Care Medicine","Critical Care Medicine","NA"
"Crystallography","Crystallography","NA"
"Cultural Studies","Cultural Studies","NA"
"Dance","Dance","NA"
"Demography","Demography","NA"
"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine","NA"
"Dermatology","Dermatology","NA"
"Developmental Biology","Developmental Biology","NA"
"Ecology","Ecology","NA"
"Economics","Economics","NA"
"Education & Educational Research","Education & Educational Research","Education"
"Education, Scientific Disciplines","Education in Scientific Disciplines","Education"
"Education, Special","Special Education","Education"
"Electrochemistry","Electrochemistry","NA"
"Emergency Medicine","Emergency Medicine","NA"
"Endocrinology & Metabolism","Endocrinology & Metabolism","NA"
"Energy & Fuels","Energy & Fuels","NA"
"Engineering, Aerospace","Aerospace Engineering","Engineering"
"Engineering, Biomedical","Biomedical Engineering","Engineering"
"Engineering, Chemical","Chemical Engineering","Engineering"
"Engineering, Civil","Civil Engineering","Engineering"
"Engineering, Electrical & Electronic","Electrical & Electronic Engineering","Engineering"
"Engineering, Environmental","Environmental Engineering","Engineering"
"Engineering, Geological","Geological Engineering","Engineering"
"Engineering, Industrial","Industrial Engineering","Engineering"
"Engineering, Manufacturing","Manufacturing Engineering","Engineering"
"Engineering, Marine","Marine Engineering","Engineering"
"Engineering, Mechanical","Mechanical Engineering","Engineering"
"Engineering, Multidisciplinary","Multidisciplinary Engineering","Engineering"
"Engineering, Ocean","Ocean Engineering","Engineering"
"Engineering, Petroleum","Petroleum Engineering","Engineering"
"Entomology","Entomology","NA"
"Environmental Sciences","Environmental Sciences","NA"
"Environmental Studies","Environmental Studies","NA"
"Ergonomics","Ergonomics","NA"
"Ethics","Ethics","NA"
"Ethnic Studies","Ethnic Studies","NA"
"Evolutionary Biology","Evolutionary Biology","NA"
"Family Studies","Family Studies","NA"
"Film, Radio, Television","Film, Radio, Television","NA"
"Fisheries","Fisheries","NA"
"Folklore","Folklore","NA"
"Food Science & Technology","Food Science & Technology","NA"
"Forestry","Forestry","NA"
"Gastroenterology & Hepatology","Gastroenterology & Hepatology","NA"
"Genetics & Heredity","Genetics & Heredity","NA"
"Geochemistry & Geophysics","Geochemistry & Geophysics","NA"
"Geography","Geography","NA"
"Geography, Physical","Physical Geography","Geography"
"Geology","Geology","NA"
"Geosciences, Multidisciplinary","Geosciences, Multidisciplinary","NA"
